 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ການມີສ່ວນຮ່ວມ  & ສະໜັບສະໜູນຄອບຄົວ,Engagement & support with the family,ປຶກສາຫາລືກັບຄອບຄົວເລື່ອງການມີສ່ວນຮ່ວມ ແລະ ຄວາມໝັ້ນໃຈເພື່ອສົ່ງເດັກນ້ອຍທີ່ມີຄວາມພິການ ຫລື ບໍ່ມີຄວາມພິການໄປໂຮງຮຽນ,Have family discussion on inclusion to increase confidence to send the child with disability (or without) to school
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ການມີສ່ວນຮ່ວມ  & ສະໜັບສະໜູນຄອບຄົວ,Engagement & support with the family,"ວາງແຜນກັບຄອບຄົວວ່າຈະເຮັດແນວໃດ, ເມື່ອໃດ ແລະ ແມ່ນໃຜ ກ່ຽວກັບການເດີນທາງໄປ-ກັບໂຮງຮຽນ ແລະ ການ​ຊ່ວຍ​ເຫຼືອ​ເດັກ​ພາຍ​ໃນໂຮງຮຽນ.","Plan with family on how, when, who for transport to/from school; and within school"
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)", ພົບປະ ຄພສບ/  ຫ້ອງ​ການ ສຶກສາທິ​ການ ແລະ ກິລາ ຂັ້ນເມືອງ ເພື່ອແລກປ່ຽນຂໍ້ມູນກ່ຽວກັບເດັກ ແລະ ຄວາມຕ້ອງການຂອງເຂົາເຈົ້າ,Meet with VEDC/ District Education and Sports Bureau (DESB) to share information about child and their education needs
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)",ແນະນຳໂຮງຮຽນ / ຄພສບ ເພື່ອດຳເນີນການປັບປ່ຽນ-ການກໍ່ສ້າງອາຄານຮຽນ​ເຊັ່ນ: ທາງເຂົ້າຫ້ອງຮຽນທີ່ສາມາດເຂົ້າເຖິງໄດ້ ນຳພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການຕາມຄວາມຈຳເປັນ ,Provide basic advice to school/ VEDC to make changes to school building to make entrance to classrooms accessible  (with rehabilitation staff as needed)
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)", ແນະນຳໂຮງຮຽນ / ຄພສບ ເພື່ອປັບ​ປ່ຽນ​ເຊັ່ນ: ສະໜາມເດັກຫລິ້ນ ນຳພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການຕາມຄວາມຈຳເປັນ   ,Provide basic advice to school/ VEDC to make playground accessible (with rehabilitation staff as needed)
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)", ແນະນຳໂຮງຮຽນ / ຄພສບ ໃຫ້ສ້າງຫ້ອງນ້ຳ ແລະ ບ່ອນລ້າງມືໃນຕຶກອາຄານໃຫ້​ເດັກ​ທີ່ມີຄວາມພິການສາມາດເຂົ້າເຖິງໄດ້ ນຳພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການຕາມຄວາມຈຳເປັນ ,Provide basic advice to school/ VEDC to make changes to latrines and handwashing station  to the building so accessible (with rehabilitation staff as needed)
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)", ສະເໜີການຝຶກອົບຮົມຂັ້ນພຶ້ນຖານໃຫ້ແກ່ຄູ ກ່ຽວກັບການຈັດທ່າເດັກຢ່າງຖືກຕ້ອງໂດຍນຳໃຊ້ອຸປະກອນອຳນວຍຄວາມສະດວກ ແລະ ເຮັດໃຫ້ຫ້ອງຮຽນເປັນສະພາບແວດລ້ອມແບບມີສ່ວນຮ່ວມ,Request rehabilitation staff to provide basic training to teacher on positioning the child correctly using assistive products and how to make classroom environment inclusive
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,"ການມີສ່ວນຮ່ວມ ແລະ ການເຜີຍແຜ່ການບໍລິການດ້ານການສຶກສາ  (ສຶກສາເມືອງ, ໂຮງຮຽນ ແລະ ຄພສບ)","Engagement and advocacy with Education Services (DESB, school and VEDC)"," ສະໜອງຂໍ້ມູນແກ່ ຄູອາຈານ / ອຳນວຍການເລື່ອງການປູກຈິດສຳນຶກ, ການມີສ່ວນຮ່ວມ ແລະ ການສະໜັບສະໜູນ  ຄພສບ","Provide information to school teachers/principal awareness, inclusion, personalized support with DESB"
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ການມີສ່ວນຮ່ວມແລະ ການເຜີຍແຜ່ກັບຊຸມຊົນ,Engagement & advocacy with the community, ປຶກສາຫາລືກັບຜູ້ສະໜອງການຂົນສົ່ງທ້ອງຖິ່ນ,Discussion with local transportation providers
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ການມີສ່ວນຮ່ວມແລະ ການເຜີຍແຜ່ກັບຊຸມຊົນ,Engagement & advocacy with the community, ເຮັດວຽກກັບສຶກສາແຂວງ ແລະ ສຶກສາເມືອງ ເພື່ອດຳເນີນການປູກຈິດສຳນຶກຊຸມຊົນ ດ້ານການສຶກສາແບບມີສ່ວນຮ່ວມ ເພື່ອຫລຸດຜ່ອນທັດ​ສະ​ນະ​ຄະ​ຕິ​ທາງ​ລົບ ແລະ ອຳນວຍຄວາມສະດວກດ້ານການມີສ່ວນຮ່ວມ,Work with PESS and/or DESB to conduct community awareness on IE to reduce stigma and facilitate inclusion
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ການມີສ່ວນຮ່ວມແລະ ການເຜີຍແຜ່ກັບຊຸມຊົນ,Engagement & advocacy with the community,ຊ່ວຍກະຕຸ້ນຊຸມຊົນ ເພື່ອສະໜັບສະໜູນການເດີນ​ທາງເພື່ອໃຫ້ເດັກ​ໄດ້​ໄປໂຮງຮຽນ,Activate community to support transportation so the child can get to school
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,ນຳສົ່ງການບໍລິການອື່ນໆ (ຫຼື​ອົງ​ການ​ອື່ນ) ທີ່ສະໜັບສະໜູນການສຶກສາແບບມີສ່ວນຮ່ວມ,Referral to other services that support inclusive education,ສົ່ງ​ເສີມ​ການ​ປະ​ກອບ​ສ່ວນ​ໃນ​ຊຸມ​ຊົນ​ເຊັນ: ຊຸດນັກຮຽນ / ອຸປະກອນການຮຽນ ແລະ ອື່ນ​ໆ,Provide support (financial from other donors/ community) for school uniform/ school resources 
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,ນຳສົ່ງການບໍລິການອື່ນໆ (ຫຼື​ອົງ​ການ​ອື່ນ) ທີ່ສະໜັບສະໜູນການສຶກສາແບບມີສ່ວນຮ່ວມ,Referral to other services that support inclusive education,ນໍາສົ່ງເດັກ ແລະ ຄອບຄົວໃຫ້ແກ່ ສະມາຄົມທີ່ບໍ່ຫວັງຜົນກຳໄລ ຫຼື ອົງການຈັດຕັ້ງສາກົນອື່ນໆ  ເພື່ອສະໜັບສະໜູນການສຶກສາ,Refer child and family to NPA/ INGO supporting education 
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education ,ນຳສົ່ງການບໍລິການອື່ນໆ (ຫຼື​ອົງ​ການ​ອື່ນ) ທີ່ສະໜັບສະໜູນການສຶກສາແບບມີສ່ວນຮ່ວມ,Referral to other services that support inclusive education,ນຳສົ່ງເດັກໄປໜ່ວຍບໍລິການດ້ານສຸຂະພາບເພື່ອສະໜັບໜູນ ການເຮັດໜ້າທີ່ການ ແລະ ເຄື່ອງອຳນວຍຄວາມສະດວກ,Refer to services to support function and assistive products (go to function module)
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ເຄື່ອງຊ່ວຍອຳນວຍຄວາມສະດວກທີ່ຜະລິດຢູ່ທ້ອງຖິ່ນ,Production of locally made assistive product,"ຮັບເອົາຄຳແນະນຳຈາກພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການກ່ຽວກັບເຄື່ອງອຳນວຍຄວາມສະດວກ ເພື່ອຊ່ວຍການຮຽນຮູ້  (ຕັ່ງນັ່ງ, ໂຕະ, ສໍດຳແບບດັດປັບ ແລະ ອື່ນໆ)","Obtain advice from rehabilitation staff on assistive products to help learning (chair, desk, adapted pencil, etc)"
 ປັບປຸງການເຂົ້າເຖິງ​ການ​ສຶກ​ສາ ແລະ ການໄດ້​ຮັບການສຶກສາ,Improved access and participation to education , ເຄື່ອງຊ່ວຍອຳນວຍຄວາມສະດວກທີ່ຜະລິດຢູ່ທ້ອງຖິ່ນ,Production of locally made assistive product,ໃຫ້ຄຳແນະນຳເບື້ອງຕົ້ນແກ່ຄອບຄົວກ່ຽວກັບການສ້າງເຄື່ອງຊ່ວຍໃນການຮຽນຮູ້ແບບງ່າຍໆ ເພື່ອກະຕຸ້ນເດັກຢູ່ທີ່ບ້ານ ຫຼື ໂຮງຮຽນ,Provide basic advice to family on making simple learning aid to stimulate the child at home or school
