ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize referral to health facility
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or medical costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ກວດກາເບິ່ງການເຂົ້າປິ່ນປົວຢູ່ສະຖານບໍລິການ ແລະ ການໃຫ້ຄຳແນະນຳ ( ການປິ່ນປົວ/ການຜ່າຕັດ/ ການສະໜອງແວ່ນຕາ) ໂດຍທ່ານໝໍ ,Check attendance at health facility and recommendations (treatment/surgery/ provision of glasses) provided by the doctor
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ສະໜັບສະໜູນຄົນເຈັບຊື້ແວ່ນຕາຈາກຮ້ານຂາຍແວ່ນຕາ ເມື່ອຈຳເປັນ,Support person to buy glasses from optician shop if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ຊື້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ແວ່ນຂະຫຍາຍ / ແວ່ນອ່ານໜັງສື)ຈາກຮ້ານຂາຍຢາ,Purchase other vision assistive products (magnifier/ reading glasses) from pharmacy
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ສຳລັບການຜ່າຕັດຕາ ຖ້າຈຳເປັນ,Provide financial support (transport and/or medical costs) for eye surgery if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ໃຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ ແລະ ສ້ອມແປງແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນຕ່າງໆ,Provide advice on use and maintenance of glasses and/or other vision assistive products
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility, ສົ່ງເສີມໃຫ້ໃຊ້ແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ,Encourage use of glasses/ vision assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ຕິດຕາມການໃຊ້ແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ,Monitor use of glasses/ vision assistive product
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing , ການນຳສົ່ງໄປກວດຕາທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for eye examination at health facility,ສະໜັບສະໜູນການສ້ອມແປງແວ່ນຕາ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ,Support repairs of glasses/ vision assistive product if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment),ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment),ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment),ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງ ຜູ້ສະໜອງບໍລິການປິ່ນປົວ,Organize referral to service provider
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment), ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or other costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment),) ຊື້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນອັກສອນນູນ),Purchase of assistive product (white cane or braille equipment)
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment), ໃຫ້ການສະໜັບຄົນເຈັບໃນການຕິດຕັ້ງອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນເທິງມືຖື,Support person to install assistive product for vision support on smartphone
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment),"ສົ່ງເສີມການນຳໃຊ້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ, ອຸປະກອນອັກສອນນູນ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກເທິງມືຖື)","Encourage use of vision assistive product (white cane, braille equipment or smartphone assistive product)"
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral to service provider  for vision assistive product (white cane and/or braille equipment)," ຕິດຕາມການໃຊ້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ, ອຸປະກອນອັກສອນນູນ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກເທິງມືຖື)","Monitor use of vision assistive product (white cane, braille equipment or smartphone assistive product)"
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment),ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment),ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment), ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງ ຜູ້ສະໜອງບໍລິການປິ່ນປົວ,Organise referral to service provider
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment), ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or other costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment),"ສົ່ງເສີມການນຳໃຊ້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ, ອຸປະກອນອັກສອນນູນ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກເທິງມືຖື)","Encourage use of vision assistive product (white cane, braille equipment or smartphone assistive product)"
ເພີ່ມຄວາມອິດສະຫຼະໃນການເບິ່ງເຫັນ,Increase independence seeing ,ການນຳສົ່ງໄປຍັງຜູ້ສະໜອງບໍລິການເພື່ອຂໍອຸປະກອນອຳນວຍຄວາມດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ / ອຸປະກອນດ້ານອັກສອນນູນ),Referral for training to use vision assistive product (white cane and/ or braille equipment)," ຕິດຕາມການໃຊ້ອຸປະກອນອຳນວຍຄວາມສະດວກໃນການເບິ່ງເຫັນ (ໄມ້ເທົ້າຊ່ວຍຍ່າງ, ອຸປະກອນອັກສອນນູນ ແລະ ອຸປະກອນອຳນວຍຄວາມສະດວກເທິງມືຖື)","Monitor use of vision assistive product (white cane, braille equipment or smartphone assistive product)"
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility, ກວດກາເບິ່ງຄວາມພ້ອມດ້ານບໍລິການ ແລະ ກຳນົດການນັດໝາຍ,Check availability of service and schedule of appointments
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ຂໍຄວາມຍິນຍອມຈາກຄົນເຈັບ ແລະ ຄອບຄົວເພື່ອນຳສົ່ງຄົນເຈັບ,Get informed consent from person and family 
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ຈັດກຽມການສົ່ງຕໍ່ໄປຍັງສະຖານບໍລິການປິ່ນປົວ,Organize referral to health facility
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍດ້ານການແພດ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or medical costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility, ກວດກາເບິ່ງການເຂົ້າປິ່ນປົວຢູ່ສະຖານບໍລິການ ແລະ ການໃຫ້ຄຳແນະນຳ ( ການປິ່ນປົວ/ເຄື່ອງຊ່ວຍຟັງ) ໂດຍທ່ານໝໍ ,Check attendance at health facility and recommendations (treatment/ hearing aid) provided by the doctor
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ຢືນຢັນວ່າໄດ້ຊື້ເຄື່ອງຊ່ວຍຟັງ ແລະ ເໝາະສົມກັບຜູ້ໃຊ້,Confirm hearing aid purchased and fitted properly
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ຫ້ຄຳແນະນຳກ່ຽວກັບການໃຊ້ ແລະ ສ້ອມແປງເຄື່ອງຊ່ວຍຟັງ,Provide advice on use and maintenance of hearing aid
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ສົ່ງເສີມໃຫ້ໃຊ້ເຄື່ອງຊ່ວຍຟັງ,Encourage use of hearing aid
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ຕິດຕາມການນຳໃຊ້ເຄື່ອງຊ່ວຍຟັງ,Monitor use of hearing aid 
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ສະໜັບໃຫ້ຊື້ແບດເຕີຣີເສີມສຳລັບເຄື່ອງຊ່ວຍຟັງ,Support purchase of additional batteries for hearing aid
ເພີ່ມຄວາມອິດສະຫຼະໃນການໄດ້ຍິນ,Increase independence hearing ,ການນຳສົ່ງໄປກວດຫູ / ການທົດລອງການໄດ້ຍິນທີ່ສະຖານບໍລິການປິ່ນປົວ,Referral for ear examination/ hearing test at health facility,ສະໜັບສະໜູນໃຫ້ສ້ອມແປງເຄື່ອງຊ່ວຍຟັງຕາມຄວາມຈຳເປັນ,Support repairs of hearing aid as needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການນຳສົ່ງໄປປະເມີນການປາກເວົ້າທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Referral for speech assessment at rehabilitation facility,ຕິດຕໍ່ສະຖານປິ່ປົວດ້ານແພດຟຶ້ນຟູໜ້າທີ່ການ ເພື່ອກວດກາເບິ່ງການບໍລິການທີ່ມີຢູ່ກ່ຽວກັບການບຳບັດດ້ານການປາກເວົ້າ ແລະ ກຳນົດການນັດໝາຍກັບຊ່ຽວຊານ ຫຼື ນັກກາຍບຳບັດ,Contact rehabilitation facility to check availability of speech therapy (ST) service and schedule of appointments (either specialist or PT trained in ST)
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການນຳສົ່ງໄປປະເມີນການປາກເວົ້າທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Referral for speech assessment at rehabilitation facility, ຈັດກຽມການນຳສົ່ງໄປປະເມີນດ້ານການປາກເວົ້າທີ່ສູນການແພດຟື້ນຟູໜ້າທີ່ການ,Organize referral for speech assessment at rehabilitation facility
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການນຳສົ່ງໄປປະເມີນການປາກເວົ້າທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Referral for speech assessment at rehabilitation facility, ໃຫ້ການສະໜັບສະຫນູນທາງດ້ານການເງິນ (ການຂົນສົ່ງ / ຄ່າໃຊ້ຈ່າຍສະຖານບໍລິການປິ່ນປົວ) ຖ້າຈຳເປັນ,Provide financial support (transport and /or health facility costs) if needed
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການນຳສົ່ງໄປປະເມີນການປາກເວົ້າທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Referral for speech assessment at rehabilitation facility,ຢືນຢັນວ່າ ຄົນເຈັບໄດ້ເຂົ້າຮ່ວມການປະເມີນ ແລະ ການປິ່ນປົວຕາມຄຳແນະນຳພະນັກງານການແພດຟື້ນຟູໜ້າທີ່ການ,Confirm person attended for assessment and treatment prescribed by rehabilitation staff
ເພີ່ມຄວາມອິດສະຫຼະໃນການສື່ສານ ແລະ ພົບປະກັບຄົນອື່ນ,Increase independence communicating and interacting with others , ການນຳສົ່ງໄປປະເມີນການປາກເວົ້າທີ່ສະຖານບໍລິການດ້ານການແພດຟື້ນຟູໜ້າທີ່ການ,Referral for speech assessment at rehabilitation facility, ຢືນຢັນການສະໜອງອຸປະກອນອຳນວຍຄວາມສະດວກດ້ານການສື່ສານ,Confirm provision of communication assistive product
